,decimalLatitude,decimalLongitude,cluster,occurrenceStatus,key,aet_mean,def_mean,pdsi_mean,pet_mean,ppt_mean,soil_mean,srad_mean,tmax_mean,tmin_mean,vap_mean,vpd_mean
0,-38.369245,144.979495,0,0,0,57.35,37.020832,-2.7449996,94.2875,63.779167,55.966667,176.20416,18.239588,10.112501,1.1735,0.518375
1,-38.3222,145.19,0,0,1,55.075,44.933334,-3.3029165,99.975,58.470833,53.091667,177.8875,19.44292,10.526251,1.2114166,0.5868333
2,-37.7183,145.053,0,0,2,51.8625,57.745834,-2.9079163,109.558334,54.608334,24.8875,179.03334,20.685835,10.147502,1.1493334,0.73820823
3,-37.733,144.973,0,0,3,46.8,62.9875,-2.8062494,109.70417,49.241665,15.220834,178.625,20.606668,10.1795845,1.1581666,0.7202083
4,-37.7963,145.112,0,0,4,55.425,54.179165,-3.0366664,109.5625,58.3875,32.445835,178.79584,20.659586,10.347918,1.1531667,0.7379167
5,-37.746181,145.214751,0,0,5,58.204166,44.820835,-2.8087497,102.98333,62.095833,54.5,180.09166,20.283752,9.450418,1.1362917,0.69191664
6,-37.63056,144.95833,0,0,6,46.925,60.270832,-2.7362497,107.1625,49.408333,18.404167,178.64166,20.28,9.5979185,1.1262499,0.7112916
7,-37.74083,145.13583,0,0,7,55.2625,51.829166,-2.928333,107.05417,58.404167,37.416668,179.79584,20.69292,9.9937525,1.147875,0.73704165
8,-37.753068,145.097359,0,0,8,53.6125,56.054165,-3.0066667,109.65417,56.433334,29.083334,179.34584,20.824585,10.3237505,1.156875,0.7484167
9,-37.6666,145.19,0,0,9,55.070835,48.995834,-2.709583,104.00833,58.508335,42.379166,180.4625,20.245419,9.264169,1.1231667,0.69704163
10,-38.3063,145.171,0,0,10,55.075,44.933334,-3.3029165,99.975,58.470833,53.091667,177.8875,19.44292,10.526251,1.2114166,0.5868333
11,-37.61211,145.13606,0,0,11,52.045834,51.679165,-2.6691663,103.7,54.983334,33.533333,180.23334,20.166252,9.174168,1.1095833,0.7028333
12,-37.795654,145.111752,0,0,12,55.425,54.179165,-3.0366664,109.5625,58.3875,32.445835,178.79584,20.659586,10.347918,1.1531667,0.7379167
13,-37.924475,145.333043,0,0,13,63.8375,36.525,-3.1866663,100.325,68.26667,85.495834,178.59166,19.762085,9.486251,1.1395416,0.6445416
14,-37.997467,145.154393,0,0,14,53.079166,55.641666,-3.339583,108.6875,55.908333,34.108334,178.92917,20.525002,10.606668,1.1877916,0.6998333
15,-37.8996,145.206,0,0,15,58.654167,48.654167,-3.1204162,107.254166,61.933334,47.920834,178.68333,20.440418,10.241668,1.1568333,0.712375
16,-38.4981,145.646,0,0,16,67.566666,27.233334,-2.8870828,94.770836,79.35833,107.69583,176.77916,18.868336,9.544168,1.164625,0.550125
17,-38.153378,145.251214,0,0,17,57.633335,43.416668,-3.3229163,100.96667,60.908333,62.679165,178.10834,19.661251,10.039585,1.1860001,0.6122083
18,-37.741974,145.163079,0,0,18,55.2625,51.829166,-2.928333,107.05417,58.404167,37.416668,179.79584,20.69292,9.9937525,1.147875,0.73704165
19,-37.8298,145.279,0,0,19,62.966667,41.016666,-2.8474996,103.99167,67.729164,69.96667,178.55,20.28,9.713334,1.13125,0.7089583
20,-37.8336,145.37,0,0,20,70.90833,27.75,-2.439583,98.64167,82.28333,108.645836,178.45416,19.252083,8.742501,1.0916667,0.6292084
21,-37.6346,145.03627,0,0,21,48.675,58.15,-2.7912495,106.775,51.208332,21.629168,179.3375,20.362501,9.642918,1.1262916,0.7184166
22,-37.829534,144.908844,0,0,22,41.1875,71.5625,-2.5104163,112.729164,43.3375,6.4875,178.14583,20.797085,10.618335,1.186,0.71920836
23,-37.845631,145.232708,0,0,23,60.558334,45.308334,-2.990833,105.84167,64.38333,58.8875,178.72084,20.488752,10.059585,1.146625,0.7215833
24,-37.796,145.112,0,0,24,55.425,54.179165,-3.0366664,109.5625,58.3875,32.445835,178.79584,20.659586,10.347918,1.1531667,0.7379167
25,-38.218384,145.083765,0,0,25,54.433334,45.054165,-3.174583,99.45,57.875,50.458332,177.64166,19.245003,10.200835,1.188875,0.5845
26,-38.07767,145.42499,0,0,26,60.5375,40.675,-3.6204164,101.183334,63.95,77.725,178.59584,20.021252,9.779585,1.1799166,0.63608336
27,-37.88455,145.24038,0,0,27,58.616665,47.141666,-3.1266663,105.74167,61.958332,52.729168,178.8375,20.442501,10.130002,1.1578333,0.7084167
28,-37.5045,145.419,0,0,28,66.020836,27.9125,-1.8337497,93.916664,88.36667,75.933334,180.35834,18.48625,7.3858347,1.032125,0.5936667
29,-37.807578,145.263277,0,0,29,62.966667,41.016666,-2.8474996,103.99167,67.729164,69.96667,178.55,20.28,9.713334,1.13125,0.7089583
30,-37.60843,144.99315,0,0,30,46.095833,58.6875,-2.7008328,104.7875,48.491665,19.379168,179.7375,20.038752,9.248336,1.1084168,0.697625
31,-38.1265,145.273,0,0,31,57.633335,43.416668,-3.3229163,100.96667,60.908333,62.679165,178.10834,19.661251,10.039585,1.1860001,0.6122083
32,-38.200627,145.226067,0,0,32,55.529167,45.233334,-3.3929164,100.7625,58.6625,54.875,178.125,19.59417,10.187502,1.1962916,0.602625
33,-38.1307,145.51058,0,0,33,58.625,42.475,-3.6749997,101.1,61.958332,72.229164,178.93333,20.090834,9.924169,1.204,0.6235834
34,-37.789434,145.007518,0,0,34,48.666668,62.658333,-2.8854165,111.27917,51.245834,17.133333,178.40416,20.818335,10.437502,1.1664166,0.74137497
35,-37.9857,145.703,0,0,35,70.79583,23.9875,-3.1262498,94.78333,78.754166,144.17917,179.7875,19.43042,8.612918,1.1288333,0.59587497
36,-38.140736,145.272243,0,0,36,57.633335,43.416668,-3.3229163,100.96667,60.908333,62.679165,178.10834,19.661251,10.039585,1.1860001,0.6122083
37,-37.675238,145.543836,0,0,37,73.2375,21.041666,-2.047083,94.28333,95.191666,121.4375,179.67917,18.605835,7.657085,1.049625,0.589875
38,-38.4972,145.784,0,0,38,67.775,26.445833,-2.888333,94.166664,80.32083,110.48333,177.07916,18.900835,9.390001,1.1610832,0.5509584
39,-38.2919,145.19419,0,0,39,55.075,44.933334,-3.3029165,99.975,58.470833,53.091667,177.8875,19.44292,10.526251,1.2114166,0.5868333
40,-38.1265,145.273,0,0,40,57.633335,43.416668,-3.3229163,100.96667,60.908333,62.679165,178.10834,19.661251,10.039585,1.1860001,0.6122083
41,-37.640704,145.083423,0,0,41,52.104168,53.4125,-2.8016663,105.5,54.966667,31.441668,180.04167,20.21917,9.395835,1.120125,0.70404166
42,-37.879138,145.189376,0,0,42,58.654167,48.654167,-3.1204162,107.254166,61.933334,47.920834,178.68333,20.440418,10.241668,1.1568333,0.712375
43,-37.5995,145.439,0,0,43,64.458336,33.983334,-2.1624994,98.42083,74.191666,77.129166,180.85834,20.073336,8.680001,1.0991666,0.68770826
44,-37.601868,145.275335,0,0,44,59.85,41.358334,-2.3762498,101.175,65.50833,56.2625,180.41667,20.030418,8.872918,1.0969583,0.6912917
45,-37.613708,145.423628,0,0,45,64.458336,33.983334,-2.1624994,98.42083,74.191666,77.129166,180.85834,20.073336,8.680001,1.0991666,0.68770826
46,-37.866051,145.246679,0,0,46,60.558334,45.308334,-2.990833,105.84167,64.38333,58.8875,178.72084,20.488752,10.059585,1.146625,0.7215833
47,-38.319018,145.168944,0,0,47,55.075,44.933334,-3.3029165,99.975,58.470833,53.091667,177.8875,19.44292,10.526251,1.2114166,0.5868333
